detector,window,t_eq_cm,phi
D1,peak,223.60,2.984034e-04
D1,peak,225.56,2.970642e-04
D1,peak,227.53,2.957728e-04
D1,peak,229.49,2.945269e-04
D1,peak,231.45,2.933245e-04
D1,peak,233.41,2.921633e-04
D1,peak,235.37,2.910416e-04
D1,peak,237.33,2.899574e-04
D1,peak,239.29,2.889089e-04
D1,peak,241.26,2.878946e-04
D1,peak,243.22,2.869127e-04
D1,peak,245.18,2.859619e-04
D1,peak,247.14,2.850405e-04
D1,peak,249.10,2.841474e-04
D1,peak,251.06,2.832810e-04
D1,peak,253.02,2.824403e-04
D1,peak,254.99,2.816240e-04
D1,peak,256.95,2.808310e-04
D1,peak,258.91,2.800602e-04
D1,peak,260.87,2.793106e-04
D1,peak,262.83,2.785812e-04
D1,peak,264.79,2.778712e-04
D1,peak,266.75,2.771795e-04
D1,peak,268.72,2.765055e-04
D1,peak,270.68,2.758482e-04
D1,peak,272.64,2.752069e-04
D1,peak,274.60,2.745809e-04
D1,peak,276.56,2.739696e-04
D1,peak,278.52,2.733722e-04
D1,peak,280.48,2.727881e-04
D1,peak,282.45,2.722168e-04
D1,peak,284.41,2.716576e-04
D1,peak,286.37,2.711101e-04
D1,peak,288.33,2.705737e-04
D1,peak,290.29,2.700479e-04
D1,peak,292.25,2.695323e-04
D1,peak,294.21,2.690264e-04
D1,peak,296.18,2.685298e-04
D1,peak,298.14,2.680421e-04
D1,peak,300.10,2.675630e-04
D1,peak,302.06,2.670920e-04
D1,peak,304.02,2.666288e-04
D1,peak,305.98,2.661730e-04
D1,peak,307.94,2.657244e-04
D1,peak,309.91,2.652827e-04
D1,peak,311.87,2.648476e-04
D1,peak,313.83,2.644187e-04
D1,peak,315.79,2.639959e-04
D1,peak,317.75,2.635789e-04
D1,peak,319.71,2.631674e-04
D1,peak,321.67,2.627612e-04
D1,peak,323.64,2.623602e-04
D1,peak,325.60,2.619641e-04
D1,peak,327.56,2.615727e-04
D1,peak,329.52,2.611858e-04
D1,peak,331.48,2.608032e-04
D1,peak,333.44,2.604249e-04
D1,peak,335.40,2.600505e-04
D1,peak,337.37,2.596800e-04
D1,peak,339.33,2.593133e-04
D1,peak,341.29,2.589501e-04
D1,peak,343.25,2.585903e-04
D1,peak,345.21,2.582339e-04
D1,peak,347.17,2.578806e-04
D1,peak,349.13,2.575305e-04
D1,peak,351.10,2.571832e-04
D1,peak,353.06,2.568389e-04
D1,peak,355.02,2.564973e-04
D1,peak,356.98,2.561583e-04
D1,peak,358.94,2.558219e-04
D1,peak,360.90,2.554880e-04
D1,peak,362.86,2.551565e-04
D1,peak,364.83,2.548273e-04
D1,peak,366.79,2.545003e-04
D1,peak,368.75,2.541755e-04
D1,peak,370.71,2.538528e-04
D1,peak,372.67,2.535321e-04
D1,peak,374.63,2.532133e-04
D1,peak,376.59,2.528965e-04
D1,peak,378.56,2.525815e-04
D1,peak,380.52,2.522682e-04
D1,peak,382.48,2.519567e-04
D1,peak,384.44,2.516469e-04
D1,peak,386.40,2.513387e-04
D1,peak,388.36,2.510320e-04
D1,peak,390.32,2.507269e-04
D1,peak,392.29,2.504233e-04
D1,peak,394.25,2.501211e-04
D1,peak,396.21,2.498203e-04
D1,peak,398.17,2.495209e-04
D1,peak,400.13,2.492228e-04
D1,peak,402.09,2.489260e-04
D1,peak,404.05,2.486305e-04
D1,peak,406.02,2.483362e-04
D1,peak,407.98,2.480431e-04
D1,peak,409.94,2.477512e-04
D1,peak,411.90,2.474604e-04
D1,peak,413.86,2.471707e-04
D1,peak,415.82,2.468821e-04
D1,peak,417.78,2.465945e-04
D1,peak,419.75,2.463080e-04
D1,peak,421.71,2.460225e-04
D1,peak,423.67,2.457379e-04
D1,peak,425.63,2.454544e-04
D1,peak,427.59,2.451718e-04
D1,peak,429.55,2.448901e-04
D1,peak,431.51,2.446093e-04
D1,peak,433.47,2.443294e-04
D1,peak,435.44,2.440503e-04
D1,peak,437.40,2.437722e-04
D1,peak,439.36,2.434948e-04
D1,peak,441.32,2.432183e-04
D1,peak,443.28,2.429425e-04
D1,peak,445.24,2.426676e-04
D1,peak,447.20,2.423934e-04
D1,peak,449.17,2.421200e-04
D1,peak,451.13,2.418473e-04
D1,peak,453.09,2.415754e-04
D1,peak,455.05,2.413042e-04
D1,peak,457.01,2.410336e-04
D1,peak,458.97,2.407638e-04
D1,peak,460.93,2.404947e-04
D1,peak,462.90,2.402262e-04
D1,peak,464.86,2.399584e-04
D1,peak,466.82,2.396913e-04
D1,peak,468.78,2.394248e-04
D1,peak,470.74,2.391589e-04
D1,peak,472.70,2.388936e-04
D1,peak,474.66,2.386290e-04
